"Step","fresh-energy-8 - train/router_loss","fresh-energy-8 - train/router_loss__MIN","fresh-energy-8 - train/router_loss__MAX"
"1","2.17510986328125","2.17510986328125","2.17510986328125"
"2","2.0150146484375","2.0150146484375","2.0150146484375"
"3","2.07080078125","2.07080078125","2.07080078125"
"4","2.22943115234375","2.22943115234375","2.22943115234375"
"5","2.14215087890625","2.14215087890625","2.14215087890625"
"6","2.2344970703125","2.2344970703125","2.2344970703125"
"7","2.249267578125","2.249267578125","2.249267578125"
"8","2.2811279296875","2.2811279296875","2.2811279296875"
"9","2.14764404296875","2.14764404296875","2.14764404296875"
"10","2.10479736328125","2.10479736328125","2.10479736328125"
"11","2.13201904296875","2.13201904296875","2.13201904296875"
"12","2.13189697265625","2.13189697265625","2.13189697265625"
"13","2.01373291015625","2.01373291015625","2.01373291015625"
"14","2.25860595703125","2.25860595703125","2.25860595703125"
"15","2.1561279296875","2.1561279296875","2.1561279296875"
"16","2.25946044921875","2.25946044921875","2.25946044921875"
"17","2.070556640625","2.070556640625","2.070556640625"
"18","2.102294921875","2.102294921875","2.102294921875"
"19","2.17010498046875","2.17010498046875","2.17010498046875"
"20","2.02130126953125","2.02130126953125","2.02130126953125"
"21","2.1424560546875","2.1424560546875","2.1424560546875"
"22","2.12786865234375","2.12786865234375","2.12786865234375"
"23","2.1522216796875","2.1522216796875","2.1522216796875"
"24","2.143310546875","2.143310546875","2.143310546875"
"25","2.109375","2.109375","2.109375"
"26","2.0660400390625","2.0660400390625","2.0660400390625"
"27","2.083740234375","2.083740234375","2.083740234375"
"28","2.08203125","2.08203125","2.08203125"
"29","2.0792236328125","2.0792236328125","2.0792236328125"
"30","2.0694580078125","2.0694580078125","2.0694580078125"
"31","2.11279296875","2.11279296875","2.11279296875"
"32","2.0906982421875","2.0906982421875","2.0906982421875"
"33","2.08221435546875","2.08221435546875","2.08221435546875"
"34","2.06280517578125","2.06280517578125","2.06280517578125"
"35","2.0889892578125","2.0889892578125","2.0889892578125"
"36","2.069091796875","2.069091796875","2.069091796875"
"37","2.1287841796875","2.1287841796875","2.1287841796875"
"38","2.1083984375","2.1083984375","2.1083984375"
"39","2.0662841796875","2.0662841796875","2.0662841796875"
"40","2.10015869140625","2.10015869140625","2.10015869140625"
"41","2.04852294921875","2.04852294921875","2.04852294921875"
"42","2.075927734375","2.075927734375","2.075927734375"
"43","2.04669189453125","2.04669189453125","2.04669189453125"
"44","2.12005615234375","2.12005615234375","2.12005615234375"
"45","2.09228515625","2.09228515625","2.09228515625"
"46","2.09033203125","2.09033203125","2.09033203125"
"47","2.06195068359375","2.06195068359375","2.06195068359375"
"48","2.09124755859375","2.09124755859375","2.09124755859375"
"49","2.027587890625","2.027587890625","2.027587890625"
"50","2.03509521484375","2.03509521484375","2.03509521484375"
"51","2.092529296875","2.092529296875","2.092529296875"
"52","2.08056640625","2.08056640625","2.08056640625"
"53","2.10491943359375","2.10491943359375","2.10491943359375"
"54","2.08642578125","2.08642578125","2.08642578125"
"55","2.06634521484375","2.06634521484375","2.06634521484375"
"56","2.0797119140625","2.0797119140625","2.0797119140625"
"57","2.0533447265625","2.0533447265625","2.0533447265625"
