"Step","fresh-energy-8 - train/total_loss","fresh-energy-8 - train/total_loss__MIN","fresh-energy-8 - train/total_loss__MAX"
"1","2.243825651705265","2.243825651705265","2.243825651705265"
"2","2.066254422068596","2.066254422068596","2.066254422068596"
"3","2.1314065158367157","2.1314065158367157","2.1314065158367157"
"4","2.29502472281456","2.29502472281456","2.29502472281456"
"5","2.205585226416588","2.205585226416588","2.205585226416588"
"6","2.2964997068047523","2.2964997068047523","2.2964997068047523"
"7","2.3161806017160416","2.3161806017160416","2.3161806017160416"
"8","2.342231050133705","2.342231050133705","2.342231050133705"
"9","2.2200136333703995","2.2200136333703995","2.2200136333703995"
"10","2.167309619486332","2.167309619486332","2.167309619486332"
"11","2.1881083101034164","2.1881083101034164","2.1881083101034164"
"12","2.1949903666973114","2.1949903666973114","2.1949903666973114"
"13","2.0832402631640434","2.0832402631640434","2.0832402631640434"
"14","2.3281307965517044","2.3281307965517044","2.3281307965517044"
"15","2.214543215930462","2.214543215930462","2.214543215930462"
"16","2.332334727048874","2.332334727048874","2.332334727048874"
"17","2.137223944067955","2.137223944067955","2.137223944067955"
"18","2.173941195011139","2.173941195011139","2.173941195011139"
"19","2.229718688875437","2.229718688875437","2.229718688875437"
"20","2.0918946117162704","2.0918946117162704","2.0918946117162704"
"21","2.202334765344858","2.202334765344858","2.202334765344858"
"22","2.1979110091924667","2.1979110091924667","2.1979110091924667"
"23","2.2218025773763657","2.2218025773763657","2.2218025773763657"
"24","2.215755268931389","2.215755268931389","2.215755268931389"
"25","2.1742008924484253","2.1742008924484253","2.1742008924484253"
"26","2.1341159865260124","2.1341159865260124","2.1341159865260124"
"27","2.1488244235515594","2.1488244235515594","2.1488244235515594"
"28","2.1444434449076653","2.1444434449076653","2.1444434449076653"
"29","2.1454228460788727","2.1454228460788727","2.1454228460788727"
"30","2.1404829546809196","2.1404829546809196","2.1404829546809196"
"31","2.1669500283896923","2.1669500283896923","2.1669500283896923"
"32","2.1555457189679146","2.1555457189679146","2.1555457189679146"
"33","2.1476207226514816","2.1476207226514816","2.1476207226514816"
"34","2.128466486930847","2.128466486930847","2.128466486930847"
"35","2.1612832695245743","2.1612832695245743","2.1612832695245743"
"36","2.1349324136972427","2.1349324136972427","2.1349324136972427"
"37","2.195351041853428","2.195351041853428","2.195351041853428"
"38","2.1703147292137146","2.1703147292137146","2.1703147292137146"
"39","2.1345209181308746","2.1345209181308746","2.1345209181308746"
"40","2.1621828600764275","2.1621828600764275","2.1621828600764275"
"41","2.118064135313034","2.118064135313034","2.118064135313034"
"42","2.1405501663684845","2.1405501663684845","2.1405501663684845"
"43","2.1182437613606453","2.1182437613606453","2.1182437613606453"
"44","2.177793249487877","2.177793249487877","2.177793249487877"
"45","2.1488646492362022","2.1488646492362022","2.1488646492362022"
"46","2.1598303839564323","2.1598303839564323","2.1598303839564323"
"47","2.120245862752199","2.120245862752199","2.120245862752199"
"48","2.150627836585045","2.150627836585045","2.150627836585045"
"49","2.0984702706336975","2.0984702706336975","2.0984702706336975"
"50","2.1020832657814026","2.1020832657814026","2.1020832657814026"
"51","2.1637548953294754","2.1637548953294754","2.1637548953294754"
"52","2.14818999171257","2.14818999171257","2.14818999171257"
"53","2.1627258844673634","2.1627258844673634","2.1627258844673634"
"54","2.153001382946968","2.153001382946968","2.153001382946968"
"55","2.139416441321373","2.139416441321373","2.139416441321373"
"56","2.142622359097004","2.142622359097004","2.142622359097004"
"57","2.1179418116807938","2.1179418116807938","2.1179418116807938"
"58","2.1352353990077972","2.1352353990077972","2.1352353990077972"
"59","2.1631261706352234","2.1631261706352234","2.1631261706352234"
"60","2.155439257621765","2.155439257621765","2.155439257621765"
"61","2.1793400049209595","2.1793400049209595","2.1793400049209595"
"62","2.1796979382634163","2.1796979382634163","2.1796979382634163"
"63","2.1430480927228928","2.1430480927228928","2.1430480927228928"
"64","2.142711564898491","2.142711564898491","2.142711564898491"
"65","2.095293242484331","2.095293242484331","2.095293242484331"
"66","2.1132471561431885","2.1132471561431885","2.1132471561431885"
"67","2.1442330330610275","2.1442330330610275","2.1442330330610275"
"68","2.14072023332119","2.14072023332119","2.14072023332119"
"69","2.193646028637886","2.193646028637886","2.193646028637886"
"70","2.180342987179756","2.180342987179756","2.180342987179756"
"71","2.1256323903799057","2.1256323903799057","2.1256323903799057"
"72","2.1848834455013275","2.1848834455013275","2.1848834455013275"
"73","2.1633893996477127","2.1633893996477127","2.1633893996477127"
"74","2.0932324677705765","2.0932324677705765","2.0932324677705765"
"75","2.155238315463066","2.155238315463066","2.155238315463066"
"76","2.1388260424137115","2.1388260424137115","2.1388260424137115"
"77","2.1661625429987907","2.1661625429987907","2.1661625429987907"
"78","2.124139416962862","2.124139416962862","2.124139416962862"
"79","2.103745236992836","2.103745236992836","2.103745236992836"
"80","2.1626551672816277","2.1626551672816277","2.1626551672816277"
"81","2.150687575340271","2.150687575340271","2.150687575340271"
"82","2.1038138046860695","2.1038138046860695","2.1038138046860695"
"83","2.1354050301015377","2.1354050301015377","2.1354050301015377"
"84","2.137438416481018","2.137438416481018","2.137438416481018"
"85","2.112766310572624","2.112766310572624","2.112766310572624"
"86","2.1521357372403145","2.1521357372403145","2.1521357372403145"
"87","2.1576697938144207","2.1576697938144207","2.1576697938144207"
"88","2.1248864345252514","2.1248864345252514","2.1248864345252514"
"89","2.155193939805031","2.155193939805031","2.155193939805031"
"90","2.1585259065032005","2.1585259065032005","2.1585259065032005"
"91","2.1735476925969124","2.1735476925969124","2.1735476925969124"
"92","2.1071695424616337","2.1071695424616337","2.1071695424616337"
"93","2.166273310780525","2.166273310780525","2.166273310780525"
"94","2.150565877556801","2.150565877556801","2.150565877556801"
"95","2.152110457420349","2.152110457420349","2.152110457420349"
"96","2.0669366866350174","2.0669366866350174","2.0669366866350174"
"97","2.2143416181206703","2.2143416181206703","2.2143416181206703"
"98","2.1271291375160217","2.1271291375160217","2.1271291375160217"
"99","2.1333915442228317","2.1333915442228317","2.1333915442228317"
"100","2.1759075075387955","2.1759075075387955","2.1759075075387955"
"101","2.1587414517998695","2.1587414517998695","2.1587414517998695"
"102","2.1799745336174965","2.1799745336174965","2.1799745336174965"
"103","2.136022988706827","2.136022988706827","2.136022988706827"
"104","2.169752962887287","2.169752962887287","2.169752962887287"
"105","2.1345436200499535","2.1345436200499535","2.1345436200499535"
"106","2.1739291325211525","2.1739291325211525","2.1739291325211525"
"107","2.1817253455519676","2.1817253455519676","2.1817253455519676"
"108","2.154565244913101","2.154565244913101","2.154565244913101"
"109","2.194884181022644","2.194884181022644","2.194884181022644"
"110","2.209135390818119","2.209135390818119","2.209135390818119"
